,CASE_STATUS,EMPLOYER_NAME,SOC_NAME,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,YEAR,WORKSITE,lon,lat
7385,CERTIFIED-WITHDRAWN,"SHUTTERFLY, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,"MANAGER, WEB ENGINEERING",Y,112694,2016,"FORT MILL, SOUTH CAROLINA",-80.9450759,35.0073697
7386,CERTIFIED-WITHDRAWN,"VIACOM INTERNATIONAL, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,APPLICATIONS SUPPORT MANAGER,Y,99715,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
7387,CERTIFIED-WITHDRAWN,"POCKET GEMS, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,VICE PRESIDENT OF PRODUCT MANAGEMENT,Y,179504,2016,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
7388,CERTIFIED-WITHDRAWN,"AMERICAN INTERNATIONAL GROUP, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,TAX MANAGER,Y,99715,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
7390,CERTIFIED-WITHDRAWN,ALTISOURCE SOLUTIONS INC.,COMPUTER AND INFORMATION SYSTEMS MANAGERS,DIRECTOR OF PRODUCT MANAGEMENT,Y,139110,2016,"IRVINE, CALIFORNIA",-117.7946942,33.6839473
7393,CERTIFIED-WITHDRAWN,"SAAMA TECHNOLOGIES, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,ENGAGEMENT MANAGER,Y,99291,2016,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
7399,CERTIFIED-WITHDRAWN,"XEROX HR SOLUTIONS, LLC",COMPUTER AND INFORMATION SYSTEMS MANAGERS,PROGRAM MANAGER,Y,93226,2016,"CHERRY HILL, NEW JERSEY",-75.0246312,39.926813
7401,CERTIFIED-WITHDRAWN,"SAGE IT, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,DIRECTOR - INFORMATION SYSTEMS,Y,90709,2016,"FRISCO, TEXAS",-96.8236116,33.1506744
7403,CERTIFIED-WITHDRAWN,LINKEDIN CORPORATION,COMPUTER AND INFORMATION SYSTEMS MANAGERS,ASSOCIATE PRODUCT MANAGER,Y,120286,2016,"MOUNTAIN VIEW, CALIFORNIA",-122.0838511,37.3860517
7404,CERTIFIED-WITHDRAWN,ERICSSON INC.,COMPUTER AND INFORMATION SYSTEMS MANAGERS,PROJECT MANAGER,Y,101504,2016,"INDIANAPOLIS, INDIANA",-86.158068,39.768403
7407,CERTIFIED-WITHDRAWN,APPLE INC.,COMPUTER AND INFORMATION SYSTEMS MANAGERS,ENGINEERING PROJECT MANAGER,Y,149885,2016,"CUPERTINO, CALIFORNIA",-122.0321823,37.3229978
7412,CERTIFIED-WITHDRAWN,"INTERACTIVE COMMUNICATIONS INTERNATIONAL, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,MANAGER SOFTWARE SOLUTIONS,Y,106704,2016,"ATLANTA, GEORGIA",-84.3879824,33.7489954
7415,CERTIFIED-WITHDRAWN,SYMANTEC CORPORATION,COMPUTER AND INFORMATION SYSTEMS MANAGERS,"SENIOR MANAGER, DEVELOPMENT",Y,154530,2016,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
7420,CERTIFIED-WITHDRAWN,SANTEN INCORPORATED,COMPUTER AND INFORMATION SYSTEMS MANAGERS,"DIRECTOR, IT OPERATIONS",Y,182083,2016,"EMERYVILLE, CALIFORNIA",-122.2852473,37.831316
7421,CERTIFIED-WITHDRAWN,IGT,COMPUTER AND INFORMATION SYSTEMS MANAGERS,SOFTWARE ENGINEERING MANAGER,Y,117666,2016,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
7422,CERTIFIED-WITHDRAWN,SEMTECH CORPORATION,COMPUTER AND INFORMATION SYSTEMS MANAGERS,DIRECTOR OF SYSTEMS OPERATIONS,Y,156000,2016,"CAMARILLO, CALIFORNIA",-119.0376023,34.2163937
7427,CERTIFIED-WITHDRAWN,"SILVER SPRING NETWORKS, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,TECHNICAL SERVICES ENGINEER,Y,117666,2016,"REDWOOD CITY, CALIFORNIA",-122.2363548,37.4852152
7428,CERTIFIED-WITHDRAWN,"CVS PHARMACY, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,SENIOR PRODUCT MANAGER-MOBILE,Y,135949,2016,"WOONSOCKET, RHODE ISLAND",-71.5147839,42.0028761
7431,CERTIFIED-WITHDRAWN,"EXPEDIA, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,TECHNICAL PRODUCT MANAGER,Y,101776,2016,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
7433,CERTIFIED-WITHDRAWN,"FIRST DATA TECHNOLOGIES, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,DIRECTOR IT,Y,104104,2016,"OMAHA, NEBRASKA",-95.9979883,41.2523634
7434,CERTIFIED-WITHDRAWN,LOGICAL DESIGN SOLUTIONS,COMPUTER AND INFORMATION SYSTEMS MANAGERS,PROJECT MANAGER,Y,149157,2016,"FLORHAM PARK, NEW JERSEY",-74.3882072,40.787878
7437,CERTIFIED-WITHDRAWN,"SAMSUNG TELECOMMUNICATIONS AMERICA, LLC",COMPUTER AND INFORMATION SYSTEMS MANAGERS,DIRECTOR ENGINEERING,Y,183872,2016,"PALO ALTO, CALIFORNIA",-122.1430195,37.4418834
7446,CERTIFIED-WITHDRAWN,ALPHA NET CONSULTING LLC,COMPUTER AND INFORMATION SYSTEMS MANAGERS,FUNCTIONAL LEAD ORACLE APPLICATIONS,Y,134992,2016,"LIVERMORE, CALIFORNIA",-121.7680088,37.6818745
7451,CERTIFIED-WITHDRAWN,UNIVERSITY OF NOTRE DAME DU LAC,COMPUTER AND INFORMATION SYSTEMS MANAGERS,"ASSISTANT DIRECTOR, SOFTWARE DEVELOPMENT",Y,93808,2016,"NOTRE DAME, INDIANA",-86.2379328,41.7001908
7456,CERTIFIED-WITHDRAWN,"CONCUR TECHNOLOGIES, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,"MANAGER, BUSINESS INTELLIGENCE",Y,124259,2016,"BELLEVUE, WASHINGTON",-122.2015159,47.6101497
7458,CERTIFIED-WITHDRAWN,"FACEBOOK, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,PRODUCT MANAGER,Y,113732,2016,"MENLO PARK, CALIFORNIA",-122.1817252,37.4529598
7461,CERTIFIED-WITHDRAWN,"AKAMAI TECHNOLOGIES, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,PRACTICE MANAGER,Y,125481,2016,"SANTA CLARA, CALIFORNIA",-121.9552356,37.3541079
7469,CERTIFIED-WITHDRAWN,INGENICO INC.,COMPUTER AND INFORMATION SYSTEMS MANAGERS,QUALITY ASSURANCE MANAGER,Y,106500,2016,"ALPHARETTA, GEORGIA",-84.2940899,34.0753762
7470,CERTIFIED-WITHDRAWN,"RIVERBED TECHNOLOGY, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,"SENIOR MANAGER, ENGINEERING",Y,183872,2016,"SUNNYVALE, CALIFORNIA",-122.0363496,37.36883
7471,CERTIFIED-WITHDRAWN,GOOGLE INC.,COMPUTER AND INFORMATION SYSTEMS MANAGERS,TECHNICAL PROGRAM/PROJECT LEAD,Y,164939,2016,"MOUNTAIN VIEW, CALIFORNIA",-122.0838511,37.3860517
7475,CERTIFIED-WITHDRAWN,KLNTEK,COMPUTER AND INFORMATION SYSTEMS MANAGERS,IT PROJECT MANAGER,Y,94432,2016,"EL SEGUNDO, CALIFORNIA",-118.4164652,33.9191799
7476,CERTIFIED-WITHDRAWN,"DROPBOX, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,STRATEGIC PARTNER DEVELOPMENT,Y,140005,2016,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
7477,CERTIFIED-WITHDRAWN,"MICRON TECHNOLOGY, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,IS PROJECT MANAGER,Y,73258,2016,"BOISE, IDAHO",-116.2146068,43.6187102
7478,CERTIFIED-WITHDRAWN,HITACHI DATA SYSTEMS CORPORATION,COMPUTER AND INFORMATION SYSTEMS MANAGERS,SOFWARE DEVELOPMENT ENGINEER MANAGER,Y,124259,2016,"BELLEVUE, WASHINGTON",-122.2015159,47.6101497
7482,CERTIFIED-WITHDRAWN,"MICRON TECHNOLOGY, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,BACKEND MANUFACTURING SERVICE MANAGER,Y,73258,2016,"BOISE, IDAHO",-116.2146068,43.6187102
7484,CERTIFIED-WITHDRAWN,KLNTEK,COMPUTER AND INFORMATION SYSTEMS MANAGERS,IT PROJECT MANAGER,Y,94432,2016,"EL SEGUNDO, CALIFORNIA",-118.4164652,33.9191799
7488,CERTIFIED-WITHDRAWN,QLOGIC CORPORATION,COMPUTER AND INFORMATION SYSTEMS MANAGERS,"MANAGER, IT",Y,127300,2016,"ALISO VIEJO, CALIFORNIA",-117.7256083,33.5676842
7490,CERTIFIED-WITHDRAWN,DELL MARKETING L.P.,COMPUTER AND INFORMATION SYSTEMS MANAGERS,SOFTWARE DEVELOPMENT MANAGER II,Y,103730,2016,"PHOENIX, ARIZONA",-112.0740373,33.4483771
7493,CERTIFIED-WITHDRAWN,"EXLSERVICE.COM, LLC",COMPUTER AND INFORMATION SYSTEMS MANAGERS,SENIOR MANAGER - CLIENT DELIVERY,Y,100048,2016,"COLUMBIA, SOUTH CAROLINA",-81.0348144,34.0007104
7494,CERTIFIED-WITHDRAWN,"REMIND101, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,PRODUCT MANAGER OF GROWTH (COMPUTER & INFO SYSTEMS MANAGER),Y,115586,2016,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
7495,CERTIFIED-WITHDRAWN,DELL MARKETING L.P.,COMPUTER AND INFORMATION SYSTEMS MANAGERS,SYSTEMS INTEGRATION SR. MANAGER,Y,118790,2016,"PLANO, TEXAS",-96.6988856,33.0198431
7496,CERTIFIED-WITHDRAWN,PAREXEL INTERNATIONAL,COMPUTER AND INFORMATION SYSTEMS MANAGERS,"SR. MANAGER, DATA OPERATION LEADS",Y,111426,2016,"BALTIMORE, MARYLAND",-76.6121893,39.2903848
7498,CERTIFIED-WITHDRAWN,"UTILITY DATA CONTRACTORS, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,PROJECT MANAGER,Y,98176,2016,"ENGLEWOOD, COLORADO",-104.9877597,39.6477653
7503,CERTIFIED-WITHDRAWN,IT PEOPLE CORPORATION,COMPUTER AND INFORMATION SYSTEMS MANAGERS,IT PROJECT MANAGER,Y,90459,2016,"MORRISVILLE, NORTH CAROLINA",-78.8255621,35.823483
7505,CERTIFIED-WITHDRAWN,URS TECHNOLOGIES SOLUTIONS LLC,COMPUTER AND INFORMATION SYSTEMS MANAGERS,MANAGER TELECOM SERVICES,Y,98696,2016,"ROSELLE, NEW JERSEY",NA,NA
7510,CERTIFIED-WITHDRAWN,"STRATEGIC ALTERNATIVE FUNDS GROUP, LLC",COMPUTER AND INFORMATION SYSTEMS MANAGERS,CHIEF TECHNOLOGY OFFICER & VP OF ENGINEERING,Y,195208,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
7516,CERTIFIED-WITHDRAWN,ARICENT TECHNOLOGIES (HOLDINGS) LTD.,COMPUTER AND INFORMATION SYSTEMS MANAGERS,SENIOR DIRECTOR,Y,93954,2016,"BOSTON, MASSACHUSETTS",-71.0588801,42.3600825
7519,CERTIFIED-WITHDRAWN,LEVI STRAUSS & CO.,COMPUTER AND INFORMATION SYSTEMS MANAGERS,"SENIOR MANAGER, IT PERFORMANCE",Y,140005,2016,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
7524,CERTIFIED-WITHDRAWN,MOTOROLA MOBILITY LLC,COMPUTER AND INFORMATION SYSTEMS MANAGERS,PROJECT MANAGER,Y,153383,2016,"SUNNYVALE, CALIFORNIA",-122.0363496,37.36883
7525,CERTIFIED-WITHDRAWN,"UNIVERSAL ELECTRONICS, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,NETWORK MANAGER,Y,118643,2016,"SANTA ANA, CALIFORNIA",-117.8678338,33.7455731
7528,CERTIFIED-WITHDRAWN,"NEW RELIC, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,ENGINEERING MANAGER,Y,115294,2016,"PORTLAND, OREGON",-122.6764816,45.5230622
7529,CERTIFIED-WITHDRAWN,JPMORGAN CHASE & CO.,COMPUTER AND INFORMATION SYSTEMS MANAGERS,APPLICATIONS DEVELOPER LEAD,Y,106808,2016,"COLUMBUS, OHIO",-82.9987942,39.9611755
7530,CERTIFIED-WITHDRAWN,"EN POINTE TECHNOLOGIES SALES, LLC",COMPUTER AND INFORMATION SYSTEMS MANAGERS,MICROSOFT MANAGER,Y,173826,2016,"GARDENA, CALIFORNIA",-118.3089624,33.8883487
7531,CERTIFIED-WITHDRAWN,APPLE INC.,COMPUTER AND INFORMATION SYSTEMS MANAGERS,SENIOR ENGINEERING PROJECT MANAGER,Y,152901,2016,"CUPERTINO, CALIFORNIA",-122.0321823,37.3229978
7533,CERTIFIED-WITHDRAWN,"RIVERBED TECHNOLOGY, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,"MANAGER, ENGINEERING",Y,152901,2016,"SUNNYVALE, CALIFORNIA",-122.0363496,37.36883
7534,CERTIFIED-WITHDRAWN,"ADS ALLIANCE DATA SYSTEMS, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,"DIRECTOR, PLATFORM DELIVERY",Y,125115,2016,"IRVING, TEXAS",-96.9488945,32.8140177
7537,CERTIFIED-WITHDRAWN,HITACHI CONSULTING CORPORATION,COMPUTER AND INFORMATION SYSTEMS MANAGERS,MANAGER,Y,76877,2016,"CHICAGO, ILLINOIS",-87.6297982,41.8781136
7538,CERTIFIED-WITHDRAWN,"FACEBOOK, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,"DIRECTOR, ENGINEERING",Y,233533,2016,"MENLO PARK, CALIFORNIA",-122.1817252,37.4529598
7539,CERTIFIED-WITHDRAWN,RECRUITING MINDS INC.,COMPUTER AND INFORMATION SYSTEMS MANAGERS,IT PROGRAM MANAGER,Y,77834,2016,"MILWAUKEE, WISCONSIN",-87.9064736,43.0389025
7542,CERTIFIED-WITHDRAWN,THE UNIVERSITY OF IOWA,COMPUTER AND INFORMATION SYSTEMS MANAGERS,SENIOR DATABASE ARCHITECT,Y,80974,2016,"IOWA CITY, IOWA",-91.5301683,41.6611277
7545,CERTIFIED-WITHDRAWN,LINKEDIN CORPORATION,COMPUTER AND INFORMATION SYSTEMS MANAGERS,"MANAGER, SOFTWARE ENGINEERING",Y,152901,2016,"MOUNTAIN VIEW, CALIFORNIA",-122.0838511,37.3860517
7546,CERTIFIED-WITHDRAWN,APPLE INC.,COMPUTER AND INFORMATION SYSTEMS MANAGERS,SW DEVELOP MGR,Y,124758,2016,"CUPERTINO, CALIFORNIA",-122.0321823,37.3229978
7554,CERTIFIED-WITHDRAWN,"BMC SOFTWARE, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,MANAGER - IT,Y,107425,2016,"HOUSTON, TEXAS",-95.3698028,29.7604267
7560,CERTIFIED-WITHDRAWN,"XEROX STATE HEALTHCARE, LLC",COMPUTER AND INFORMATION SYSTEMS MANAGERS,SYSTEMS DEVELOPMENT MANAGER I,Y,88920,2016,"RICHMOND, VIRGINIA",-77.4360481,37.5407246
7563,CERTIFIED-WITHDRAWN,SYMANTEC CORPORATION,COMPUTER AND INFORMATION SYSTEMS MANAGERS,SR. PRODUCT MANAGER,Y,122429,2016,"CULVER CITY, CALIFORNIA",-118.3964665,34.0211224
7568,CERTIFIED-WITHDRAWN,HCL GLOBAL SYSTEMS INC,COMPUTER AND INFORMATION SYSTEMS MANAGERS,PROJECT MANAGER,Y,80496,2016,"FORT WORTH, TEXAS",-97.3307658,32.7554883
7569,CERTIFIED-WITHDRAWN,"RIVERBED TECHNOLOGY, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,LEAD IT TECHNICAL ARCHITECT,Y,118414,2016,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
7573,CERTIFIED-WITHDRAWN,TODAY'S BUSINESS SOLUTIONS INC.,COMPUTER AND INFORMATION SYSTEMS MANAGERS,PROJECT COORDINATOR,Y,78125,2016,"ORLAND PARK, ILLINOIS",-87.8539425,41.6303103
7580,CERTIFIED-WITHDRAWN,"COLLECTIVE, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,PRINCIPAL ENGINEER,Y,138133,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
7584,CERTIFIED-WITHDRAWN,"RANDSTAD TECHNOLOGIES, LP",COMPUTER AND INFORMATION SYSTEMS MANAGERS,PROJECT MANAGER,Y,115648,2016,"CHARLOTTE, NORTH CAROLINA",-80.8431267,35.2270869
7590,CERTIFIED-WITHDRAWN,"TABLEAU SOFTWARE, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,"MANAGER, DEVELOPMENT",Y,152693,2016,"SEATTLE, WASHINGTON",-122.3320708,47.6062095
7652,CERTIFIED-WITHDRAWN,LINKEDIN CORPORATION,COMPUTER AND INFORMATION SYSTEMS MANAGERS,"MANAGER, SOFTWARE ENGINEERING",Y,155159,2016,"MOUNTAIN VIEW, CALIFORNIA",-122.0838511,37.3860517
7708,CERTIFIED-WITHDRAWN,HITACHI CONSULTING CORPORATION,COMPUTER AND INFORMATION SYSTEMS MANAGERS,MANAGER,Y,86549,2016,"CYPRESS, CALIFORNIA",-118.0372852,33.8169599
7810,CERTIFIED-WITHDRAWN,CCH INCORPORATED,COMPUTER AND INFORMATION SYSTEMS MANAGERS,SUPERVISOR ERP DATA,Y,101774,2016,"CHICAGO, ILLINOIS",-87.6297982,41.8781136
7931,CERTIFIED-WITHDRAWN,IGATE TECHNOLOGIES INC.,COMPUTER AND INFORMATION SYSTEMS MANAGERS,PROGRAM MANAGER,Y,129334,2016,"WARREN, NEW JERSEY",-74.5004796,40.6342489
7966,CERTIFIED-WITHDRAWN,"NEW RELIC, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,PRINCIPAL PRODUCT MANAGER,Y,152693,2016,"SEATTLE, WASHINGTON",-122.3320708,47.6062095
8010,CERTIFIED-WITHDRAWN,HITACHI CONSULTING CORPORATION,COMPUTER AND INFORMATION SYSTEMS MANAGERS,MANAGER,Y,124758,2016,"SUNNYVALE, CALIFORNIA",-122.0363496,37.36883
8071,CERTIFIED-WITHDRAWN,"VERTAFORE, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,"MANAGER, QUALITY ASSURANCE",Y,107910,2016,"EAST LANSING, MICHIGAN",-84.4838654,42.7369792
8138,CERTIFIED-WITHDRAWN,ECHELON CORPORATION,COMPUTER AND INFORMATION SYSTEMS MANAGERS,BUSINESS APPLICATIONS MANAGER,Y,154440,2016,"SAN JOSE, CALIFORNIA",-121.8863286,37.3382082
8154,CERTIFIED-WITHDRAWN,"AKAMAI TECHNOLOGIES, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,SENIOR ENGAGEMENT MANAGER,Y,117351,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
8194,CERTIFIED-WITHDRAWN,"XEROX STATE HEALTHCARE, LLC",COMPUTER AND INFORMATION SYSTEMS MANAGERS,"DIRECTOR, ENGINEERING",Y,90979,2016,"FRANKLIN, TENNESSEE",-86.8688899,35.9250637
8217,CERTIFIED-WITHDRAWN,YAHOO! INC.,COMPUTER AND INFORMATION SYSTEMS MANAGERS,"DIRECTOR, PRODUCT MANAGEMENT",Y,147800,2016,"SUNNYVALE, CALIFORNIA",-122.0363496,37.36883
8295,CERTIFIED-WITHDRAWN,NORTHWESTERN UNIVERSITY,COMPUTER AND INFORMATION SYSTEMS MANAGERS,POSTDOCTORAL FELLOW,N,56077,2016,"EVANSTON, ILLINOIS",-87.6876969,42.0450722
8305,CERTIFIED-WITHDRAWN,KOHLER COMPANY,COMPUTER AND INFORMATION SYSTEMS MANAGERS,SYSTEMS PROJECT MANAGER,Y,111010,2016,"KOHLER, WISCONSIN",-87.7817541,43.7391616
8307,CERTIFIED-WITHDRAWN,CAPGEMINI FINANCIAL SERVICES USA INC,COMPUTER AND INFORMATION SYSTEMS MANAGERS,SENIOR CONSULTANT,Y,101774,2016,"CHICAGO, ILLINOIS",-87.6297982,41.8781136
8329,CERTIFIED-WITHDRAWN,"CHEF SOFTWARE, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,VICE PRESIDENT ENGINEERING,Y,177112,2016,"SEATTLE, WASHINGTON",-122.3320708,47.6062095
8375,CERTIFIED-WITHDRAWN,"CITIBANK, N.A.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,APPLICATIONS DEVELOPMENT SENIOR MANAGER,Y,94515,2016,"GETZVILLE, NEW YORK",-78.7681412,43.0232669
8388,CERTIFIED-WITHDRAWN,AMERICAN PUBLIC UNIVERSITY SYSTEM,COMPUTER AND INFORMATION SYSTEMS MANAGERS,"ASSOC. VP, IT APPLICATIONS DEVELOPMENT",Y,178755,2016,"RANSON, WEST VIRGINIA",NA,NA
8435,CERTIFIED-WITHDRAWN,SEARS HOLDINGS MANAGEMENT CORPORATION,COMPUTER AND INFORMATION SYSTEMS MANAGERS,"SR. MANAGER, IM SYSTEMS AND SUPPORT",Y,88800,2016,"HOFFMAN ESTATES, ILLINOIS",-88.1227199,42.0629915
8608,CERTIFIED-WITHDRAWN,"GODADDY.COM, LLC",COMPUTER AND INFORMATION SYSTEMS MANAGERS,SENIOR MANAGER SOFTWARE DEVELOPMENT,Y,152693,2016,"KIRKLAND, WASHINGTON",-122.2059833,47.6768927
8609,CERTIFIED-WITHDRAWN,"FACEBOOK, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,ENGINEERING MANAGER,Y,181810,2016,"MENLO PARK, CALIFORNIA",-122.1817252,37.4529598
8654,CERTIFIED-WITHDRAWN,JADE GLOBAL INC.,COMPUTER AND INFORMATION SYSTEMS MANAGERS,PROJECT MANAGER,Y,124758,2016,"SAN JOSE, CALIFORNIA",-121.8863286,37.3382082
8729,CERTIFIED-WITHDRAWN,SYNTEL INC,COMPUTER AND INFORMATION SYSTEMS MANAGERS,PROJECT MANAGER,Y,111218,2016,"PHOENIX, ARIZONA",-112.0740373,33.4483771
8734,CERTIFIED-WITHDRAWN,"VENCORE SERVICES AND SOLUTIONS, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,SENIOR TASK SUPERVISOR,Y,110282,2016,"RESTON, VIRGINIA",-77.3570028,38.9586307
8793,CERTIFIED-WITHDRAWN,"CARDINAL HEALTH, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,"MANAGER, QUALITY CONTROL",Y,108555,2016,"DUBLIN, OHIO",-83.1140771,40.0992294
8887,CERTIFIED-WITHDRAWN,BLUE CROSS BLUE SHIELD OF MICHIGAN,COMPUTER AND INFORMATION SYSTEMS MANAGERS,IT MANAGER I,Y,86195,2016,"DETROIT, MICHIGAN",-83.0457538,42.331427
8956,CERTIFIED-WITHDRAWN,COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,COMPUTER AND INFORMATION SYSTEMS MANAGERS,DIRECTOR JC35 - CISM,Y,149094,2016,"CHICAGO, ILLINOIS",-87.6297982,41.8781136
9135,CERTIFIED-WITHDRAWN,EMC CORPORATION,COMPUTER AND INFORMATION SYSTEMS MANAGERS,"DIRECTOR, SOFTWARE ENGINEER",Y,177112,2016,"SEATTLE, WASHINGTON",-122.3320708,47.6062095
9178,CERTIFIED-WITHDRAWN,GOOGLE INC.,COMPUTER AND INFORMATION SYSTEMS MANAGERS,SENIOR INTERACTION DESIGNER,Y,124758,2016,"MOUNTAIN VIEW, CALIFORNIA",-122.0838511,37.3860517
9203,CERTIFIED-WITHDRAWN,"TIBCO SOFTWARE, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,"MANAGER, ENGINEERING",Y,124758,2016,"PALO ALTO, CALIFORNIA",-122.1430195,37.4418834
9305,CERTIFIED-WITHDRAWN,GOOGLE INC.,COMPUTER AND INFORMATION SYSTEMS MANAGERS,SOFTWARE ENGINEER,Y,154440,2016,"MOUNTAIN VIEW, CALIFORNIA",-122.0838511,37.3860517
9307,CERTIFIED-WITHDRAWN,GOOGLE INC.,COMPUTER AND INFORMATION SYSTEMS MANAGERS,SOFTWARE ENGINEER,Y,184122,2016,"MOUNTAIN VIEW, CALIFORNIA",-122.0838511,37.3860517
9322,CERTIFIED-WITHDRAWN,PRODAPT NORTH AMERICA,COMPUTER AND INFORMATION SYSTEMS MANAGERS,PROJECT MANAGER,Y,79851,2016,"TUALATIN, OREGON",-122.7639851,45.3840077
9338,CERTIFIED-WITHDRAWN,PRODAPT NORTH AMERICA,COMPUTER AND INFORMATION SYSTEMS MANAGERS,DIRECTOR-DELIVERY,Y,98946,2016,"TUALATIN, OREGON",-122.7639851,45.3840077
9364,CERTIFIED-WITHDRAWN,"TIBCO SOFTWARE, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,ENGINEERING MANAGER,Y,124758,2016,"PALO ALTO, CALIFORNIA",-122.1430195,37.4418834
9409,CERTIFIED-WITHDRAWN,"DATADOG, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,CHIEF PRODUCT OFFICER,Y,200928,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
9412,CERTIFIED-WITHDRAWN,TEKSKILLS INC.,COMPUTER AND INFORMATION SYSTEMS MANAGERS,TECHNICAL PROJECT MANAGER,Y,103813,2016,"EDISON, NEW JERSEY",-74.4120953,40.5187154
9491,CERTIFIED-WITHDRAWN,"RIOT GAMES, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,SENIOR DEVELOPMENT MANAGER,Y,149178,2016,"LOS ANGELES, CALIFORNIA",-118.2436849,34.0522342
9493,CERTIFIED-WITHDRAWN,"DANLAW, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,BUSINESS DEVELOPMENT MANAGER,Y,133786,2016,"NOVI, MICHIGAN",-83.4754913,42.48059
9542,CERTIFIED-WITHDRAWN,LINKEDIN CORPORATION,COMPUTER AND INFORMATION SYSTEMS MANAGERS,SITE RELIABILITY MANAGER,Y,184122,2016,"MOUNTAIN VIEW, CALIFORNIA",-122.0838511,37.3860517
9644,CERTIFIED-WITHDRAWN,"IFWE, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,PRODUCT MANAGER II,Y,118414,2016,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
9708,CERTIFIED-WITHDRAWN,"ATTUNITY, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,TECHNICAL SALES ENGINEERING MANAGER,Y,120910,2016,"BURLINGTON, MASSACHUSETTS",-71.1956205,42.5047161
9821,CERTIFIED-WITHDRAWN,"PLATYS GROUP, LLC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,PROJECT MANAGER,Y,103813,2016,"SOMERSET, NEW JERSEY",-74.4884868,40.497604
9928,CERTIFIED-WITHDRAWN,"PUBMATIC, INC.",COMPUTER AND INFORMATION SYSTEMS MANAGERS,PRINCIPAL ARCHITECT,Y,118414,2016,"REDWOOD CITY, CALIFORNIA",-122.2363548,37.4852152
